Source,Target,Value,Color,"Node, Label",Link Color
0,13,1489,#a6cee3,Community Jan 1,"rgba(166,206,227,0.2)"
0,19,8777,,,"rgba(166,206,227,0.2)"
0,18,3648,,,"rgba(166,206,227,0.2)"
0,14,47618,,,"rgba(166,206,227,0.2)"
0,10,133799,,,"rgba(166,206,227,0.2)"
0,17,3633,,,"rgba(166,206,227,0.2)"
0,11,1506800,,,"rgba(166,206,227,0.2)"
0,16,185739,,,"rgba(166,206,227,0.2)"
0,15,4932,,,"rgba(166,206,227,0.2)"
1,19,1227,#1f78b4,Community Jan 2,"rgba(31,120,180,0.2)"
1,14,43109,,,"rgba(31,120,180,0.2)"
1,10,2147976,,,"rgba(31,120,180,0.2)"
1,11,116553,,,"rgba(31,120,180,0.2)"
1,16,16818,,,"rgba(31,120,180,0.2)"
1,15,1025,,,"rgba(31,120,180,0.2)"
2,13,79276,#b2df8a,Community Jan 3,"rgba(178,223,138,0.2)"
2,12,1251669,,,"rgba(178,223,138,0.2)"
3,19,8990,#33a02c,Community Jan 4,"rgba(51,160,44,0.2)"
3,18,5805,,,"rgba(51,160,44,0.2)"
3,12,1610,,,"rgba(51,160,44,0.2)"
3,14,770992,,,"rgba(51,160,44,0.2)"
3,10,53761,,,"rgba(51,160,44,0.2)"
3,17,227810,,,"rgba(51,160,44,0.2)"
3,11,39816,,,"rgba(51,160,44,0.2)"
3,16,19628,,,"rgba(51,160,44,0.2)"
3,15,1950,,,"rgba(51,160,44,0.2)"
4,13,1121665,#fb9a99,Community Jan 5,"rgba(251,154,153,0.2)"
4,12,82363,,,"rgba(251,154,153,0.2)"
5,14,1248,#e31aec,Community Jan 6,"rgba(227,26,28,0.2)"
5,10,1156,,,"rgba(227,26,28,0.2)"
5,11,3345,,,"rgba(227,26,28,0.2)"
5,16,1638,,,"rgba(227,26,28,0.2)"
5,15,797667,,,"rgba(227,26,28,0.2)"
6,19,17340,#fdbf6f,Community Jan 7,"rgba(253,191,111,0.2)"
6,18,671326,,,"rgba(253,191,111,0.2)"
6,14,6363,,,"rgba(253,191,111,0.2)"
6,11,2058,,,"rgba(253,191,111,0.2)"
7,19,1541,#ff7f00,Community Jan 8,"rgba(255,127,0,0.2)"
7,14,11073,,,"rgba(255,127,0,0.2)"
7,10,20903,,,"rgba(255,127,0,0.2)"
7,11,37158,,,"rgba(255,127,0,0.2)"
7,16,443090,,,"rgba(255,127,0,0.2)"
7,15,4537,,,"rgba(255,127,0,0.2)"
8,19,418508,#cab2d6,Community Jan 9,"rgba(202,178,214,0.2)"
8,18,11169,,,"rgba(202,178,214,0.2)"
8,14,8830,,,"rgba(202,178,214,0.2)"
8,10,1555,,,"rgba(202,178,214,0.2)"
8,11,5649,,,"rgba(202,178,214,0.2)"
8,16,1838,,,"rgba(202,178,214,0.2)"
9,13,117877,#6a3d9a,Community Jan 10,"rgba(106,61,154,0.2)"
9,12,53102,,,"rgba(106,61,154,0.2)"
9,11,1492,,,"rgba(106,61,154,0.2)"
10,21,118933,#a6cee3,Community Feb 1,"rgba(166,206,227,0.2)"
10,20,2156214,,,"rgba(166,206,227,0.2)"
10,27,1022,,,"rgba(166,206,227,0.2)"
10,25,47473,,,"rgba(166,206,227,0.2)"
10,24,1283,,,"rgba(166,206,227,0.2)"
10,29,1301,,,"rgba(166,206,227,0.2)"
11,21,1511714,#1f78b4,Community Feb 2,"rgba(31,120,180,0.2)"
11,20,125856,,,"rgba(31,120,180,0.2)"
11,28,2072,,,"rgba(31,120,180,0.2)"
11,27,3013,,,"rgba(31,120,180,0.2)"
11,25,41455,,,"rgba(31,120,180,0.2)"
11,24,3541,,,"rgba(31,120,180,0.2)"
11,29,5533,,,"rgba(31,120,180,0.2)"
12,22,1097601,#b2df8a,Community Feb 3,"rgba(178,223,138,0.2)"
12,26,482583,,,"rgba(178,223,138,0.2)"
12,23,75143,,,"rgba(178,223,138,0.2)"
13,21,1132,#33a02c,Community Feb 4,"rgba(51,160,44,0.2)"
13,22,71850,,,"rgba(51,160,44,0.2)"
13,26,24724,,,"rgba(51,160,44,0.2)"
13,23,1126669,,,"rgba(51,160,44,0.2)"
14,21,42929,#fb9a99,Community Feb 5,"rgba(251,154,153,0.2)"
14,20,49802,,,"rgba(251,154,153,0.2)"
14,22,1093,,,"rgba(251,154,153,0.2)"
14,28,6209,,,"rgba(251,154,153,0.2)"
14,27,49874,,,"rgba(251,154,153,0.2)"
14,25,677672,,,"rgba(251,154,153,0.2)"
14,24,1582,,,"rgba(251,154,153,0.2)"
14,29,8006,,,"rgba(251,154,153,0.2)"
15,21,3738,#e31aec,Community Feb 6,"rgba(227,26,28,0.2)"
15,20,1068,,,"rgba(227,26,28,0.2)"
15,25,1663,,,"rgba(227,26,28,0.2)"
15,24,840785,,,"rgba(227,26,28,0.2)"
16,21,190919,#fdbf6f,Community Feb 7,"rgba(253,191,111,0.2)"
16,20,18545,,,"rgba(253,191,111,0.2)"
16,25,17427,,,"rgba(253,191,111,0.2)"
16,24,2071,,,"rgba(253,191,111,0.2)"
16,29,1545,,,"rgba(253,191,111,0.2)"
17,21,2826,#ff7f00,Community Feb 8,"rgba(255,127,0,0.2)"
17,27,661286,,,"rgba(255,127,0,0.2)"
